Homonym,Index,S1,S2,S3
return,0-1,The return of spring .,,The average return was about 5 % .
clear,44986,Clear a debt .,,The fog cleared in the afternoon .
branch,44931,A branch of Congress .,,He broke off one of the branches .
top,0-3,He removed the top of the carton .,,The mower cuts off the tops of the grass .
grate,0-2,Grate one 's teeth in anger .,,To grate a window .
pledge,44961,His saxophone was in pledge .,,Signed a pledge never to reveal the secret .
brim,44932,Brim a cup to good fellowship .,,The room brimmed with people .
point,44927,The main point on the agenda was taken up first .,,What is the point of discussing it ?
utility,44988,A computer system provides utility programs to perform the tasks needed by most users .,,The price of the house included all utilities .
tongue,45052,She has a glib tongue .,,Tongues of flame licked at the walls .
deliver,0-2,Deliver the mail .,,The guard delivered the criminal to the police .
outwardness,44989,"What is the origin of the outwardness of our sensations of sound , smell , or taste .",,The outwardness of the world .
ball,44989,The ball was already emptying out before the fire alarm sounded .,,The ball rolled into the corner pocket .
stretch,44927,Stretch the imagination .,,"To enjoy the picnic , we stretched out on the grass ."
touch,44927,"Please can I have a look , if I promise not to touch ?",,I would n't touch her with a ten-foot pole .
stay,44958,Wear gloves so your hands stay warm .,,We are staying in Detroit .
case,45053,"For English , a compositor will ordinarily have two such cases , the upper case containing the capitals and the lower case containing the small letters .",,That was not the case .
match,44930,"These two copies are supposed to be identical , but they do n't match .",,Match my sweater .
sell,45049,The French try to sell us their image as great lovers .,,The brothers sell shoes .
extension,45231,The extension of ` satellite of Mars ' is the set containing only Demos and Phobos .,,A text file will have a file extension of .txt .
have,44935,I do n't have any money left .,,What do we have here ?
business,44929,He bought his brother 's business .,,Business has been slow lately .
key,44929,He spoke in a low key .,,Some students cheated by using the answer key .
strike,44993,Strike a medal .,,The teacher struck the child .
drive,0-4,Can you drive this four-wheel truck ?,,Drive the game .
faith,45140,I have faith in the goodness of my fellow man .,,They broke faith with their investors .
place,45081,Do you want to come over to my place later ?,,A political system with no place for the less prominent groups .
treat,44927,She was tempted to treat the whole affair as a joke .,,The patient must be treated right away or she will die .
beat,0-1,Beat the cream .,,Beat the subway fare .
foot,44958,Armored from head to foot .,,Curled up on the foot of the bed .
rule,2-0,It was his rule to take a walk before breakfast .,,He knew the rules of chess .
readiness,44988,Putting them in readiness .,,"A happy readiness of conversation ""-- Jane Austen ."
develop,44927,Please develop this roll of film for me .,,They developed a new technique .
light,45078,He stepped into the light .,,They played as long as it was light .
back,0-0,Can you back up your claims ?,,I ca n't back this plan .
set,44987,Set these words in italics .,,Set the house afire .
center,0-0,It is a center 's responsibility to get the football to the quarterback .,,His stories made him the center of the party .
lash,0-2,To lash something to a spar .,,The lion lashed its tail .
cover,45174,The grant does n't cover my salary .,,Cover the child with a blanket .
develop,44958,Please develop this roll of film for me .,,Develop land .
language,44929,Language sets homo sapiens apart from all other animals .,,The language introduced is standard throughout the text .
call,44930,We could always call on a friend .,,Call roll .
complexion,44930,A rugged complexion .,,A liberal political complexion .
token,44929,"According to the Bible , the rainbow is a token of God 's covenant with Noah .",,A book token is the easiest option for a Christmas gift .
number,45049,The number of parameters is small .,,In English the subject and the verb must agree in number .
nose,45020,He ducked under the nose of the gun .,,He has a cold in the nose .
pack,44930,You had better pack your swollen ankle with ice .,,Pack your tents to the top of the mountain .
demand,45175,The automobile reduced the demand for buggywhips .,,His demands for attention were unceasing .
movement,3-0,The second movement is slow and melodic .,,It was an expensive watch with a diamond movement .
union,45052,There is strength in union .,,The Soviet Union .
movement,44986,The succession of flashing lights gave an illusion of movement .,,The labor movement has been struggling in America since the passage of the Taft-Hartley act in 1947 .
resolution,44989,Printing at higher resolution will cause a reduction in performance .,,The resolution of an equation .
order,45047,A friend in New Mexico said that the order caused no trouble out there .,,Law and order .
trade,45027,As they say in the trade .,,They are accused of conspiring to constrain trade .
back,44966,Back into the driveway .,,The wind backed .
course,44929,The course of the river .,,The government took a firm course .
form,0-0,His resentment took the form of extreme hostility .,,The composition presents problems for students of musical form .
allow,44930,This sealed door wo n't allow the water come into the basement .,,To allow a servant his liberty .
surprise,2-0,The surprise attack was devastating .,,Imagine my surprise on learning I owed twice as much as I thought I did .
block,45082,I knew his name perfectly well but I had a temporary block .,,A block of stone .
call,44928,The mayor likes to call on some of the prominent citizens .,,She called her children lazy and ungrateful .
unit,44962,A unit of wheat is a bushel .,,He was a member of a special police unit .
union,44959,There is strength in union .,,Let C be the union of the sets A and B .
air,44964,Open a window and let in some air .,,As he waited he could feel the air on his neck .
roll,45143,Roll a cigarette .,,The drawer rolled open .
beat,0-0,Beat the subway fare .,,Beat a path through the forest .
pull,44927,Pull a bank robbery .,,Pull a chicken .
buy,45054,I 'm going to buy my father something nice for his birthday .,,This sum will buy you a ride on the train .
stretch,0-2,I always stretch my muscles before exercising .,,His mustache stretched all the way to his sideburns .
neighborhood,0-0,The price is in the neighborhood of $ 100 .,,He always blames someone else in the immediate neighborhood .
drag,45086,Do n't drag me into this business .,,Drag this icon to the lower right hand corner of the screen .
field,44928,There are several species of wild flowers growing in this field .,,This racehorse is the strongest in a weak field .
piece,0-1,The children acted out a comic piece to amuse the guests .,,An important piece of the evidence .
bit,2-0,In just a bit .,,There are 8 bits in a byte .
stay,0-0,To stay a flat sheet in a steam boiler .,,I had to stay at home and watch the children .
face,44927,They climbed the north face of the mountain .,,Why the sad face ?
death,44958,The death of my grandmother saddened the whole family .,,She stayed until his death .
space,44928,They tested his ability to locate objects in space .,,Write your name in the space provided .
follow,44986,Can you follow her argument ?,,She followed the men with the binoculars .
orbit,44987,The Moon 's orbit around the Earth takes nearly one month to complete .,,In the political orbit of a world power .
do,45172,Do research .,,This car does 150 miles per hour .
stretch,44960,Stretch out that piece of cloth .,,The rubber band stretched almost to the breaking point .
pay,0-0,"Pay up , please !",,It pays to go through the trouble .
course,1-0,The course of the river .,,He took a course in basket weaving .
tail,0-3,"After the burly macho nudists ' polar bear dip , their tails were spectacularly shrunk , so they looked like an immature kid 's innocent tail .",,Most primates have a tail and fangs .
fire,44927,They sat by the fire and talked .,,He went through fire and damnation .
protection,44935,He made trade protection a plank in the party platform .,,Insurance provided protection against loss of wages due to illness .
strike,3-0,Strike a match .,,The teacher struck the child .
develop,0-0,Develop a market for the new mobile phone .,,Please develop this roll of film .
extend,44964,Extend the casserole with a little rice .,,Can we extend the legs of this dining table ?
authority,0-0,Authority for the program was renewed several times .,,He is an authority on corporate law .
finish,0-2,His best finish in a major tournament was third .,,Excitement grew as the finish neared .
blow,44959,To blow a horse .,,Blow now !
drink,45017,Can I buy you a drink ?,,He took a drink of his beer and smacked his lips .
game,44927,I saw through his little game from the start .,,You need four people to play this game .
field,44991,A crop circle was made in a corn field .,,They are outstanding in their field .
serve,44989,They serve a restricted role on the bench .,,She served in Congress for two terms .
border,45080,A solid border around a table of figures .,,The border between Canada and USA is the longest in the world .
bounce,45018,The ex-boxer 's job is to bounce people who want to enter this private club .,,The rubber ball bounced .
touch,44931,Do n't touch my CDs !,,Stefan was touched by the song 's message of hope .
opinion,45017,He asked for a poll of public opinion .,,His opinions appeared frequently on the editorial page .
have,44959,Look what I have here — a frog I found on the street !,,He had a cold last week .
trim,0-2,Trim an airplane .,,Trim the photograph .
thing,45048,A thing of the spirit .,,A funny thing happened on the way to the ...
stay,45022,Stay alone .,,Stay put in the corner here !
baby,44927,When is your baby due ?,,The baby of the Supreme Court .
mouth,0-2,They built a fire at the mouth of the cave .,,He stuffed his mouth with candy .
picture,0-3,The author gives a depressing picture of life in Poland .,,He had no clear picture of himself or his world .
roll,41306,I want to get there early ; let 's roll .,,The water rolled .
top,44989,The title should be written at the top of the first page .,,He got a bright red top and string for his birthday .
move,44959,"Come on guys , let 's move : there 's work to do !",,The horse moves a carriage .
sound,0-1,The sound awakened them .,,Owen Sound .
influence,45019,Used her parents ' influence to get the job .,,She was the most important influence in my life .
trace,44961,Trace a design .,,The women traced the pasture .
clear,44959,Clear a debt .,,The sky cleared .
leak,44962,One of the tires developed a leak .,,The leaks by Chelsea Manning showed the secrets of the US military .
section,45084,A section of a fishing rod .,,She got a job in the historical section of the Treasury .
follow,45049,Can you follow her argument ?,,A terrible tsunami followed the earthquake .
academy,45115,A riding academy .,,Academies of literature and philology .
nomination,45052,The Republican nomination for Governor .,,His nomination was hotly protested .
distribute,0-1,The publisher wants to distribute the book in Asia .,,Values distribute .
eye,44992,He tried to catch her eye .,,The thread would n't go through the eye .
set,45026,Set these words in italics .,,Set the tray down .
part,3-0,They resisted every effort on his part .,,They analyzed the river into three parts .
stay,44961,I had to stay at home and watch the children .,,"After the trial period , she was asked to stay on and work full-time ."
strike,45020,Please strike this remark from the record .,,Strike a pose .
peace,45018,Our lounge strives to maintain an environment of peace for the comfort of our customers .,,"My boy , this peace is what all true warriors strive for ."
extension,44927,They applied for an extension of the loan .,,The extension of ` satellite of Mars ' is the set containing only Demos and Phobos .
course,2-0,He took a course in basket weaving .,,She prepared a three course meal .
use,0-0,Use your head !,,I used to get sick when I ate in that dining hall .
place,0-7,They phoned hoping to place her in the management team .,,I placed ten dollars on the Lakers beating the Bulls .
range,1-0,The plains lay just beyond the mountain range .,,He dreamed of a home on the range .
life,44932,He got life for killing the guard .,,City life .
follow,44989,Let 's follow our great helmsman !,,The police had been following him for weeks but they could not prove his involvement in the bombing .
strike,44930,Strike a medal .,,She struck her head on the low ceiling .
neck,45021,The horse won by a neck .,,The bottle had a wide neck .
face,2-0,An angry face .,,Why the sad face ?
snorter,45052,"The maths problem is a real snorter , is n't it ?",,The batsman succumbed to a snorter of short balls from the bowler and nicked a thin edge to the keeper .
set,44960,The film is set in Africa .,,Set the tray down .
audience,0-3,Every artist needs an audience .,,He saw that he had lost his audience .
beat,44986,I beat the traffic .,,The drums beat all night .
confidence,9-0,"Confidence is always borrowed , never owned .",,After that failure he lost his confidence .
point,45018,At that point I had to leave .,,A row of points .
fill,9-0,The mixer returned to the plant for another fill .,,He ate his fill of potatoes .
feel,0-2,I feel that he does n't like me .,,I felt my way cautiously through the dangerous business maneuver .
call,44928,After two raises there was a call .,,The salesman 's call on a customer .
inclination,45018,The alkaline inclination of the local waters .,,Her inclination is for classical music .
drop,45022,Drop him from the Republican ticket .,,Shop til you drop .
knot,44958,The saw buckled when it hit a knot .,,A small knot of women listened to his sermon .
trial,45171,A sample for ten days free trial .,,Candidates must compete in a trial of skill .
sound,45083,The sound awakened them .,,Puget Sound .
have,0-0,I have a house and a car .,,Have an assistant .
pay,44962,Crime does n't pay .,,He paid me 5000 pounds for the car .
skeleton,0-1,The battalion was a mere skeleton of its former self .,,There must be a skeleton somewhere in that family 's closet .
touch,0-0,I would n't touch her with a ten-foot pole .,,She never touched her husband .
call,0-1,Call a runner out .,,The mayor likes to call on some of the prominent citizens .
recognition,44986,He looked at her for ten full minutes before recognition dawned .,,"Molecular recognition drives all of biology , for instance , hormone and receptor or antibody-antigen interactions or the organization of molecules into larger biologically active entities ."
place,44986,A place in my heart .,,He comes from a place near Chicago .
point,44996,He missed the point of the joke .,,The cannibal 's teeth were filed to sharp points .
field,3-0,He needs some time in the field before his judgment can be trusted .,,This racehorse is the strongest in a weak field .
spot,44960,Would you like to come round on Sunday for a spot of lunch ?,,The leopard is noted for the spots of color in its fur .
resign,45048,He had no choice but to resign the game and let his opponent become the champion .,,The chairman resigned when he was found to have misappropriated funds .
performance,45047,We congratulated him on his performance at the rehearsal .,,The frequent performances of the symphony testify to its popularity .
throw,0-0,The horse threw its rider .,,She threw herself forwards .
trial,44927,He had a fair trial and the jury found him guilty .,,The trials for the semifinals began yesterday .
baby,1-0,This project is his baby .,,Stand up for yourself - do n't be such a baby !
beat,44989,Beat one 's breast .,,This beats me !
life,45080,He appointed himself emperor for life .,,While there 's life there 's hope .
substantiate,44988,The president 's trip will substantiate good relations with the former enemy country .,,The painting substantiates the feelings of the artist .
fire,44987,Put the kettle on the fire .,,Fire was one of our ancestors ' first discoveries .
unit,45047,A unit of wheat is a bushel .,,The word is a basic linguistic unit .
stay,45019,You can stay with me while you are in town .,,I can only stay for an hour .
confidence,44929,"Confidence is always borrowed , never owned .",,Everyone trusted him with their confidences .
throw,2-0,The catcher made a good throw to second base .,,He could n't afford $ 50 a throw .
throw,0-0,Throw the car into reverse .,,"Have , throw , or make a party ."
limitation,45048,It is growing rapidly with no limitation in sight .,,Statute of limitations .
center,44927,Convention center .,,It is a center 's responsibility to get the football to the quarterback .
lot,45084,Has a happy lot .,,Lots of people think so .
accept,0-2,Accept students for graduate study .,,I can not accept your invitation .
place,44960,He comes from a place near Chicago .,,He lost his place on the page .
shake,44961,Shake the salt out of the salt shaker .,,I could n't shake the car that was following me .
land,45078,It can be tricky to land a helicopter .,,The plane landed in Istanbul .
conflict,0-1,This form of conflict is essential to Mann 's writing .,,A conflict of loyalties .
pack,44931,Such odd-shaped items do not pack well .,,She packs a gun when she goes into the mountains .
appointment,44991,I 'm leaving work early because I have a doctor 's appointment .,,He erred by the appointment of unsuitable men .
locate,44959,Our sense of sight enables us to locate objects in space .,,Can you locate your cousins in the Midwest ?
winnow,44960,Winnow chaff .,,Winnow the finalists from the long list of applicants .
beat,44988,Thugs beat him up when he walked down the street late at night .,,Agassi beat Becker in the tennis championship .
start,44989,To start a stream of water .,,Start a new job .
tip,44963,Tip the screen upward .,,Tip artichokes .
touch,3-0,She did n't touch her food all night .,,The two buildings touch .
thing,0-0,I could n't tell what the thing was .,,To say the same thing in other terms .
connection,45082,There was a connection via the internet .,,The connection between overeating and obesity .
space,12-0,It all happened in the space of 10 minutes .,,The architect left space in front of the building .
range,45019,Any good golf club will have a range where you can practice .,,They used to drive the cattle across the open range every spring .
hand,45142,Give me a hand with the chores .,,"On the one hand ... , but on the other hand ..."
prescription,0-2,I tried to follow her prescription for success .,,He told the doctor that he had been taking his prescription regularly .
snap,44997,Snap a football .,,The lock snapped shut .
dip,45051,Dip the brush into the paint .,,I had to dip into my savings to buy him this present .
pump,44928,Pump bullets into the dummy .,,The athlete pumps weights in the gym .
add,45051,To add numbers .,,This paper will add to her reputation .
sleep,44962,He felt better after a little sleep .,,They had to put their family pet to sleep .
step,45020,He wo n't step into his father 's footsteps .,,Step over to the blackboard .
shrinkage,0-4,The material lost 2 inches per yard in shrinkage .,,Shrinkage is the retail trade 's euphemism for shoplifting .
appearance,5-0,"A person makes his appearance as an historian , an artist , or an orator .",,His sudden appearance surprised me .
block,0-0,He held a large block of the company 's stock .,,The pyramids were built with large stone blocks .
pound,44989,Pound the roots with a heavy flat stone .,,The salesman pounded the door knocker .
bear,0-7,Bear a heavy load .,,Bear a resemblance .
clap,44988,"If your dick has "" the drip "" you probably have the clap and need to go to the sex clinic .",,"Off in the distance , he heard the clap of thunder ."
trend,45087,Not openly liberal but that is the trend of the book .,,The trend of the stock market .
shuffle,0-0,"You shuffle , I 'll deal .",,He shuffled his funds among different accounts in various countries so as to avoid the IRS .
call,44993,We could always call on a friend .,,The engineer called round whilst you were away .
block,0-4,Block the wheels of a car .,,Block his election .
opening,45178,The opening received good critical reviews .,,The opening established the basic theme .
conflict,44988,The conflict between the government and the rebels began three years ago .,,I wanted to attend the meeting but there 's a conflict in my schedule that day .
drive,2-0,Drive a ball .,,What are you driving at ?
scene,45050,The crazy lady made a scene in the grocery store .,,He painted scenes from everyday life .
class,1-0,She has a lot of class .,,The class of all sets is not a set .
pack,45047,Such odd-shaped items do not pack well .,,This singer always packs the concert halls .
feeling,1-0,He had a great feeling for music .,,The house gave me a feeling of dread .
slot,45266,Bob Dylan occupied the top slot for several weeks .,,He put a quarter in the slot .
pipe,45052,Pipe a tune .,,"Pipe oil , water , and gas into the desert ."
mode,44961,Their nomadic mode of existence .,,Switched from keyboard to voice mode .
wall,44989,The south wall had a small window .,,A wall of prejudice .
faith,45142,They broke faith with their investors .,,A member of his own faith contradicted him .
point,44927,Point the letter .,,The dancers toes pointed outward .
life,44962,He hoped for a new life in Australia .,,Pottery was his life .
thrust,0-0,The thrust of the jet engines .,,He made a thrusting motion with his fist .
cut,11-0,The coach cut two players from the team .,,We cut through the neighbor 's yard to get home sooner .
strike,44988,Strike an arc .,,They were struck with fear .
voice,45235,Canst thou thunder with a voice like him ? — Job 40:9 .,,The noisy voice of the waterfall .
charge,45020,Charge a conductor .,,The speaker charged up the crowd with his inflammatory remarks .
lift,45082,Some actresses have more than one face lift .,,Take the lift to the fourth floor .
stand,45111,Where do you stand on the War ?,,Standing water .
round,45051,The round of the seasons .,,The story is going the rounds in Washington .
strike,44993,Strike coins .,,A bullet struck him .
note,44959,There was a note of uncertainty in his voice .,,"I did n't have any coins to pay with , so I used a note ."
train,44929,A train of thought .,,"Unfortunately , the leading bridesmaid stepped on the bride 's train as they were walking down the aisle ."
do,0-0,Do research .,,Will $ 100 do ?
draw,0-0,Draw on a cigarette .,,"She drew $ 2,000 from the account ."
place,45049,We thought we would win but only ended up in fourth place .,,He comes from a place near Chicago .
field,44986,There are several species of wild flowers growing in this field .,,Gold field .
life,45047,He could no longer cope with the complexities of life .,,Get a life .
admit,45049,The French doors admit onto the yard .,,He admitted his errors .
exhaust,44991,Exhaust one 's savings .,,This kind of work exhausts me .
kill,0-2,Kill the engine .,,She was killed in the collision of three cars .
life,44988,Life depends on many chemical and physical processes .,,The battery had a short life .
piece,0-1,I need to rest for a piece .,,She bought a lovely piece of china .
write,4-0,How many books did Georges Simenon write ?,,Please write to me every week .
history,44929,A history of France .,,A critical time in the school 's history .
hit,45029,Hit the bottle .,,He hit a home run .
point,0-2,Get to the point .,,At that point I had to leave .
try,44959,You are trying my patience .,,Try the yak butter .
break,0-3,My daughter 's fancy wedding is going to break me !,,He broke the glass plate .
misery,45051,The misery and wretchedness of those slums is intolerable .,,She was exhausted by her misery and grief .
foot,44928,Armored from head to foot .,,The swiftest of foot .
shopping,45049,Women carrying home shopping did n't give me a second glance .,,On Saturdays we usually do the shopping .
motion,45115,The cinema relies on apparent motion .,,He made a motion to adjourn .
render,45112,Render thanks .,,Render fat in a casserole .
air,3-0,He threw the ball into the air .,,A smell of chemicals in the air .
starch,0-0,Starch clothes .,,She starched her blouses .
avoid,45020,I try to avoid the company of gamblers .,,We avoided the ball .
clearance,44960,"He got clearance to travel to America , even though he had previous links to terrorists .",,"The plane got clearance from air traffic control , and we were off ."
come,0-0,Come out of the closet !,,He came singing down the road .
coverage,44986,"Before laying sod on that clay , the ground needs two inches of coverage with topsoil .",,The dictionary 's coverage of standard English is excellent .
school,45204,A school of small glittering fish swam by .,,The divers encountered a huge school of mackerel .
go,44928,We should go farther in this matter .,,She went through a lot of trouble .
action,44929,The United Nations must have the power to propose and organize action without being hobbled by irrelevant issues .,,Recent federal action undermined the segregationist position .
person,1-0,There was too much for one person to do .,,"Each person is unique , both mentally and physically ."
answer,45220,Answer the door .,,She answered the door .
buff,44994,To strip to the buff .,,Swimming in the buff .
boy,0-1,She made the boy brush his teeth every night .,,Most soldiers are only boys in uniform .
picture,45084,She was the picture of despair .,,The very picture of a modern general .
die,42461,To die to pleasure or to sin .,,She died from cancer .
peak,44930,The stock market reached a peak in September 1929 .,,Voltage peak .
civilization,44960,A hermit does n't much care for civilization .,,Early Mayan civilization .
cut,45054,Cut a ticket .,,Cut orders .
cube,45215,A stock cube .,,A sugar cube .
apply,45111,I apply this rule to get good results .,,Apply a magnetic field here .
fall,45050,Fall asleep .,,She fell ill .
head,44959,A reduction in the assessment per head of sheep .,,200 head of cattle and 50 head of horses .
drive,44936,To drive sheep out of a field .,,Drive the cows into the barn .
gob,0-1,He ?s always stuffing his gob with fast food .,,She 's got such a gob on her – she?s always gossiping about someone or other .
scale,2-0,The scale of the map .,,The scale of the model .
stand,44960,We had to stand for the entire performance !,,On the pedestal stood a statue .
furniture,44987,The woman does not even have one stick of furniture moved in yet .,,There was only one piece of furniture in the room .
extension,45019,Most BASIC files use the filename extension .BAS .,,A text file will have a file extension of .txt .
take,44988,Do you take me for a fool ?,,"Looking at him as he came into the room , I took him for his father ."
way,44959,Do you know the way to the airport ?,,He said he was looking for the way out .
lift,44961,Lift the box onto the table .,,I lifted the books .
work,44931,How does your idea work in practice ?,,The voting process does n't work as well as people thought .
double,44991,He could be Gingrich 's double .,,Saddam Hussein was rumored to have many doubles .
space,45082,The space between his teeth .,,The architect left space in front of the building .
take,0-7,I take it you 're not going ?,,He was often taken to be a man of means .
cot,44988,A roller cot ( the clothing of a drawing roller in a spinning frame ) .,,A cot for a sore finger .
trombone,45047,This trombone is very expensive .,,Jim plays the trombone very well .
fall,45049,To fall a tree .,,Night fell .
take,0-2,Take a pulse .,,A reading was taken of the earth 's tremors .
carry,44958,I will carry the secret to my grave .,,I carry a lot of life insurance .
war,44987,The war against crime .,,"The "" war on terror "" is a campaign against terrorist crime ."
reply,0-0,Please reply to my letter .,,He replied that he was not sure .
position,0-2,What position does he play ?,,Stop running all over the field and play your position !
play,45049,Play sports .,,Who 's playing now ?
circus,45079,The circus will be in town next week .,,He ran away from home to join the circus .
woodenness,45235,There was a certain woodenness in his replies .,,He criticized the woodenness of the acting .
wreck,0-3,Thanks to that quack I am a human wreck .,,The house was a wreck when they bought it .
blip,0-0,Renewed jitters in the wake of a blip in retail sales .,,The market had one bad blip today .
volume,0-0,Please turn down the volume on the stereo .,,The kids played their music at full volume .
top,45017,He removed the top of the carton .,,He could n't get the top off of the bottle .
stand,42675,We had to stand for the entire performance !,,There stood on the corner a statue .
take,2-0,Take steps .,,Take action .
run,3-0,The sale will run for ten days .,,The meeting ran late .
absence,6-0,He was surprised by the absence of any explanation .,,Absence makes the heart grow fonder .
run,44966,I will run the sample .,,Our coach had us running plays for the whole practice .
make,44989,He did n't make the choir after his voice changed .,,You have to spend money to make money !
work,44960,The voting process does n't work as well as people thought .,,This method does n't work .
interception,44963,He resorted to the interception of his daughter 's letters .,,He claimed that the interception of one missile by another would be impossible .
drug,44993,You look like someone drug you behind a horse for half a mile .,,They drugged the kidnapped tourist .
take,0-2,We take all major credit cards .,,Do you take sugar in your coffee ?
check,44927,Check the brakes .,,Check the oil in your car once a month .
break,45018,Can you break a hundred-dollar bill for me ?,,The wholesaler broke the container loads into palettes and boxes for local retailers .
product,45051,That store offers a variety of products .,,That store offers a variety of products .
action,44989,The piano had a very stiff action .,,A rifle action .
gather,45048,Gather some stones .,,Herman gathered the students together .
admit,0-1,To admit a serious thought into the mind .,,This pipe admits air .
carry,45052,The airwaves carry the sound .,,Sound carries well over water .
church,45079,There is a lovely little church in the valley .,,The church was empty .
take,44929,Do you take me for a fool ?,,I take it you 're not going ?
spring,0-0,The emerging buds were a sure sign of spring .,,"You can visit me in the spring , when the weather is bearable ."
describe,44991,"The feeling is difficult to describe , but not unpleasant .",,He described what we should do .
know,45019,Do you know my sister ?,,I know him under a different name .
material,44993,She was vice-presidential material .,,He was university material .
focus,44929,Please focus on your studies and not on your hobbies .,,Focus on passing the test .
point,44990,He broke the point of his pencil .,,He stuck the point of the knife into a tree .
collision,44959,The collision of the two ships resulted in a serious oil spill .,,Three passengers were killed in the collision .
take,44960,Do you take me for a fool ?,,He was often taken to be a man of means .
shell,44932,Nuts shell in falling .,,Wheat or rye shells in reaping .
leave,44927,Leave the flowers that you see in the park behind .,,The wound I got in my car accident left behind a massive scar .
land,41730,It can be tricky to land a helicopter .,,Use the net to land the fish .
air,45113,There was a tension in the air which made me suspect an approaching storm .,,Open a window and let in some air .
stain,44934,People knew how to stain glass a beautiful blue in the middle ages .,,Stain this table a beautiful walnut color .
run,1-0,The sale will run for ten days .,,The book runs 655 pages .
loaf,0-2,Sugar loaf .,,A loaf of cheese .
carry,45019,You must carry your camping gear .,,Amanda carried the package .
see,45060,He is blind -- he can not see .,,I saw him laughing .
hit,44959,The temperature could hit 110 F tomorrow .,,The movie hits theaters in December .
experience,0-0,He recalled the experience vividly .,,It was an experience he would not soon forget .
focus,0-0,Please focus on your studies and not on your hobbies .,,We focused on it .
thread,7-0,A thread of smoke climbed upward .,,From the air the road was a grey thread .
come,44986,Come into contact with a terrorist group .,,The shoes came untied .
coordinate,45176,Coordinate his actions with that of his colleagues .,,"Coordinate the painters , masons , and plumbers ."
return,44986,They set out on their return to the base camp .,,I expect the house to be spotless upon my return .
stream,45050,Stream of consciousness .,,Two streams of development run through American history .
credit,0-0,I give you credit for owning up to your mistake .,,"He arrived five minutes late , but to his credit he did work an extra ten minutes at the end of his shift ."
drill,44964,"Do n't drill here , there 's a gas pipe .",,Drill a small hole to start the screw in the right direction .
recognition,0-1,Increasing recognition that diabetes frequently coexists with other chronic diseases .,,A sudden recognition of the problem he faced .
remember,44999,Can you remember her phone number ?,,"I remember the concert clearly , but I ca n't recollect why I was there ."
room,44927,Room to pass .,,There was n't that much elbow room in the aircraft .
microprocessor,0-1,A disk drive contains a microprocessor to handle the internal functions of the drive .,,A microprocessor functions as the central processing unit of a microcomputer .
position,45078,Chief of Staff is the second-highest position in the army .,,Atheists do not enjoy a favorable position in American life .
head,44963,His horse won by a head .,,He is two heads taller than his little sister .
make,44988,To make like a deer caught in the headlights .,,"He made as if to punch him , but they both laughed and shook hands ."
work,45020,He could not work the math problem .,,This unpleasant situation is n't going to work itself out .
integrity,0-3,They admired his scrupulous professional integrity .,,He expects to find in us the common honesty and integrity of men of business .
take,45238,Tomorrow the doctor will take the cast off her arm .,,Take the gun from your pocket .
create,44928,You can create the color orange by mixing yellow and red .,,The company was created 25 years ago .
bum,44929,That mechanic 's a bum - he could n't fix a yo-yo .,,A lazy bum .
know,44933,It is vital that he not know .,,She knew of our plan .
fail,45179,Where do today 's public schools fail ?,,The attempt to rescue the hostages failed miserably .
range,0-1,My students range from very bright to dull .,,The instruments ranged from tuba to cymbals .
practice,0-1,The practice of the law .,,I took over his practice when he retired .
meeting,44931,They came together in a chance meeting on the way home from work .,,Next year the meeting will be in Chicago .
fill,44988,Do n't feed him any more : he 's had his fill .,,She had heard her fill of gossip .
style,44960,A cartilaginous style .,,The anal styles of insects .
treat,45047,I like to treat myself to a day at a spa when I am depressed .,,Grandmother always treated us to the circus .
go,45029,These luxuries all had to go under the Khmer Rouge .,,This chair has got to go .
return,44928,Return to your native land .,,The professor returned to his teaching position after serving as Dean .
day,44987,After that day she never trusted him again .,,I 've been here for 2 days and a bit .
keep,45049,Keep appointments .,,We kept to the original conditions of the contract .
lob,44986,Lob the tennis ball .,,The guard lobbed a pass just over the defender .
buildup,45080,I envied his rapid buildup of assets .,,A military buildup in preparation for the invasion .
catch,45140,Catch one 's breath .,,Catch some sleep .
replace,44943,The insurance will replace the lost income .,,He replaced the old razor blade .
run,45143,The horse will run the Preakness next year .,,I 'm not ready to run a marathon .
hand,45020,His hand was illegible .,,A good hand .
coordinate,44989,Coordinate our efforts .,,Coordinate his actions with that of his colleagues .
quality,44958,This school is well-known for having teachers of high quality .,,"Quality of life is usually determined by health , education , and income ."
pay,44961,Crime does n't pay .,,It pays to go through the trouble .
smile,45109,She had a smile on her face .,,He always puts a smile on my face .
age,44960,It 's been an age since we last saw you .,,It was replaced because of its age .
figure,44989,He cut a fine figure .,,He cut a sorry figure standing there in the rain .
chromosome,44992,Humans have 22 chromosome pairs plus two sex chromosomes .,,There have been documented cases of morphologically male transgenders having XX chromosomes .
action,44958,The Union action of emancipating Southern slaves .,,Recent federal action undermined the segregationist position .
coverage,45078,The enemy fire is increasing – can we get some immediate coverage from those bunkers ?,,There are overlapping coverages on your insurance policies .
raise,0-0,Raise Cain .,,Raise the roof .
chain,0-3,The third link of the silver chain needs to be resoldered .,,The chain of command .
number,0-2,The number of parameters is small .,,He had a number of chores to do .
know,45201,I know that I left the key on the table .,,Galileo knew that the earth moves around the sun .
one,44958,This is the one I ordered .,,He is the best one .
distance,45017,If that happens it will be at some distance in the future .,,At a distance of ten years he had forgotten many of the details .
rub,44928,Rub oil into her skin .,,The cat rubbed itself against my leg .
